,lb-hitman,lb-cplex,lb-static,lb-dynamic,lb-dynamic+, lub-hitman, lub-cplex,lub-static,lub-dynamic,lub-dynamic+
CP13-404,47,47,NA,NA,NA,47,47,NA,NA,NA
CP13-503,3541,3541,NA,NA,NA,3541,3541,NA,NA,NA
CP13-505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP13-pedigree13,NA,984,NA,NA,NA,984,984,NA,NA,NA
CP13-pedigree18,NA,1830,NA,NA,NA,1830,1830,NA,NA,NA
CP13-pedigree20,NA,NA,NA,NA,NA,1109,1109,NA,NA,NA
CP13-pedigree25,NA,3184,NA,NA,NA,3184,3184,NA,NA,NA
CP13-pedigree30,NA,1884,NA,NA,NA,1884,1884,NA,NA,NA
CP13-pedigree31,NA,NA,NA,NA,NA,NA,1923,NA,NA,NA
CP13-pedigree33,NA,NA,NA,NA,NA,NA,3401,NA,NA,NA
CP13-pedigree39,NA,NA,NA,NA,NA,NA,1645,NA,NA,NA
CP13-pedigree41,NA,NA,NA,NA,NA,NA,1801,NA,NA,NA
CP13-pedigree44,NA,NA,NA,NA,NA,NA,2801,NA,NA,NA
CP13-pedigree51,NA,NA,NA,NA,NA,NA,2491,NA,NA,NA
CP13-pedigree7,NA,1199,NA,NA,NA,1199,1199,NA,NA,NA
CP13-pedigree9,NA,NA,NA,NA,NA,NA,2508,NA,NA,NA
