name, sat-lb,sat-lub-greedy,sat-lub-model,sat-lub-callback, fc-lb,fc-lub-greedy,fc-lub-model,fc-lub-callback
CP13-404,114,114,114,114,NA,NA,NA,NA
CP13-503,11113,11113,11113,11113,NA,NA,NA,NA
CP13-505,NA,21253,21253,21253,NA,NA,NA,NA
CP13-pedigree13,2030,2030,2030,2030,NA,NA,NA,NA
CP13-pedigree18,7021,7021,7021,7021,NA,NA,NA,NA
CP13-pedigree20,2532,2532,2532,2532,NA,NA,NA,NA
CP13-pedigree25,10630,10630,10630,10630,NA,NA,NA,NA
CP13-pedigree30,7341,7341,7341,7341,NA,NA,NA,NA
CP13-pedigree31,NA,5258,5258,5258,NA,NA,NA,NA
CP13-pedigree33,5855,5855,5855,5855,NA,NA,NA,NA
CP13-pedigree39,11793,11793,11793,11793,NA,NA,NA,NA
CP13-pedigree41,NA,6618,NA,6618,NA,NA,NA,NA
CP13-pedigree44,6651,6651,6651,6651,NA,NA,NA,NA
CP13-pedigree51,6406,6406,6406,6406,NA,NA,NA,NA
CP13-pedigree7,3548,3548,3548,3548,NA,NA,NA,NA
CP13-pedigree9,7040,7040,7040,7040,NA,NA,NA,NA
